country,gdp_per_capita_PPP_constant_2011_international_dollar,gdp_per_capita_PPP_current_international_dollar,gdp_per_capita_constant2010USD,incomeLevel,iso2c,iso3c,latitude,lendingType,longitude,name,region,year
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1962
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1963
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1964
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1965
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1966
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1967
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1968
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1969
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1970
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1971
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1972
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1973
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1974
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1975
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1976
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1977
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1978
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1979
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1980
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1981
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1982
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1983
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1984
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1985
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1986
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1987
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1988
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1989
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1990
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1991
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1992
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1993
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1994
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1995
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1996
