exporter,year,population,eci,leftDistance2Origin_cp,leftDistance2Origin_ccp,leftSimDirection2MostComplex_cp,leftSimDirection2MostComplex_ccp,leftDistance2MostComplex_cp,leftDistance2MostComplex_ccp,leftEntropyCommunities_cp,leftEntropyCommunities_ccp,rightDistance2Origin_cp,rightDistance2Origin_ccp,rightSimDirection2MostComplex_cp,rightSimDirection2MostComplex_cc,rightDistance2MostComplex_cp,rightDistance2MostComplex_ccp,rightEntropyCommunities_cp,rightEntropyCommunities_ccp,EntropyCommunities_ccp,EntropyCommunities_cp,GDPpcPPPconstant2011intUSD,GDPpcconst2010USD,incomeLevel,latitude,longitude,region,TotalExports,TotalImports,rY10yr,rX10yr,logpop,loggdppc
"AGO",1985,10609042,-2.5838032,4.9475141,0,-.0038473958,0,.53933203,.040968373,0,0,.50042027,0,.0015197088,0,.53852737,.96747261,0,0,4.5935922,14.105088,,2574.0513,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",2115.7573,1203.8359,-.036436997,.05240605,16.177217,7.8532362
"AGO",1986,10921037,-2.0886493,3.4930966,0,-.0037810586,0,.40463364,.040907264,0,0,.2140636,0,-.0013355743,0,.54583752,1.0231071,0,0,4.2374487,14.257504,,2570.5295,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",1450.05,1027.4896,-.028796965,.12541299,16.206202,7.8518672
"AGO",1987,11218268,-1.5783919,3.4506142,0,-.0039006071,0,.40324408,.056155395,0,0,.30454645,0,-.0012748655,0,.52839398,.96182793,0,0,4.0796738,14.150854,,2700.114,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",2158.6523,996.86578,-.028842665,.075455919,16.233053,7.9010491
"AGO",1988,11513968,-1.7552103,3.0727456,0,-.0044395463,0,.376248,.051032506,0,0,.22342201,0,-.0025514264,0,.5184775,.98301107,0,0,4.1827149,13.928165,,2778.0933,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",2587.0996,1206.2831,-.027850833,.034635134,16.259071,7.9295201
"AGO",1989,11827237,-1.6249692,3.5575516,0,-.0044239787,0,.42491624,.064857833,0,0,.2305368,0,-.0021756375,0,.50411695,.92545074,0,0,4.0564294,13.674546,,2715.3276,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",3022.3291,1309.7159,-.025279911,.041734718,16.285915,7.9066677
"AGO",1990,12171441,-1.9233596,4.5297551,0,-.002980534,0,.50423884,.10574175,0,0,.19820222,0,-.0010784294,0,.49978364,.97735906,0,0,3.9913399,13.609506,4394.3301,2630.6235,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",3932.3938,1462.9089,-.022249848,.070471875,16.314604,7.8749762
"AGO",1991,12553446,-1.7899803,3.6277139,0,-.0039367964,0,.42914873,.30978346,0,0,.14129463,0,-.0019535811,0,.51190031,1.033444,0,0,3.9279428,13.467569,4209.4819,2519.9661,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",3125.8926,1639.1775,-.017165696,.074472569,16.345507,7.8320007
"AGO",1992,12968345,-1.8853778,5.1570153,0,-.0037395374,0,.57466358,.3246395,0,0,.17519255,0,-.0014798957,0,.49081692,1.0202688,0,0,4.0485997,13.266093,3793.6455,2271.0295,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",3611.9631,2261.2996,-.017365556,.076459311,16.378021,7.7279887
"AGO",1993,13403734,-1.8057991,3.4840541,0,-.0050441632,0,.42342615,.38594344,0,0,.11308859,0,-.0023220603,0,.48266375,1.0117922,0,0,3.947619,13.279081,2763.8247,1654.5371,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",3138.4365,1207.2983,.015865784,.10927783,16.411043,7.4112763
"AGO",1994,13841301,-1.6070919,3.107255,0,-.0051704785,0,.39701471,.1641598,0,0,.19171217,0,-.0022645413,0,.47977212,1.0198812,0,0,3.850167,13.36676,2770.1272,1658.3101,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",3028.749,1228.2013,.022516714,.14882469,16.443167,7.4135542
