effect,obs,comp,fe,idx
0,800,1,country_code,A001
0.620000000000001,800,1,country_code,A002
0.632500000000001,800,1,country_code,A003
0.742500000000001,800,1,country_code,A004
0.747500000000001,800,1,country_code,A005
0.765000000000001,800,1,country_code,A006
0.770000000000001,800,1,country_code,A007
0.795000000000001,800,1,country_code,A008
0.785,800,1,country_code,A009
0.852500000000001,800,1,country_code,A010
0.797500000000001,800,1,country_code,A011
0.800000000000001,800,1,country_code,A012
0.83,800,1,country_code,A013
0.785,800,1,country_code,A014
0.835000000000001,800,1,country_code,A015
0.832500000000001,800,1,country_code,A016
0.855000000000001,800,1,country_code,A017
0.835000000000001,800,1,country_code,A018
0.852500000000001,800,1,country_code,A019
0.845000000000001,800,1,country_code,A020
0.9,800,1,country_code,A021
0.865000000000001,800,1,country_code,A022
0.870000000000001,800,1,country_code,A023
0.9175,800,1,country_code,A024
0.865000000000001,800,1,country_code,A025
0.882500000000001,800,1,country_code,A026
0.885000000000001,800,1,country_code,A027
0.905,800,1,country_code,A028
0.875000000000001,800,1,country_code,A029
0.91,800,1,country_code,A030
0.8675,800,1,country_code,A031
0.890000000000001,800,1,country_code,A032
0.882500000000001,800,1,country_code,A033
0.902500000000001,800,1,country_code,A034
0.91,800,1,country_code,A035
0.890000000000001,800,1,country_code,A036
0.900000000000001,800,1,country_code,A037
0.890000000000001,800,1,country_code,A038
0.882500000000001,800,1,country_code,A039
0.915000000000001,800,1,country_code,A040
0.920000000000001,800,1,country_code,A041
0.915000000000001,800,1,country_code,A042
0.885000000000001,800,1,country_code,A043
0.885000000000001,800,1,country_code,A044
0.900000000000001,800,1,country_code,A045
0.912500000000001,800,1,country_code,A046
0.9375,800,1,country_code,A047
0.93,800,1,country_code,A048
0.937500000000001,800,1,country_code,A049
0.92,800,1,country_code,A050
0.915000000000001,800,1,country_code,A051
0.905,800,1,country_code,A052
0.905,800,1,country_code,A053
0.887500000000001,800,1,country_code,A054
0.907500000000001,800,1,country_code,A055
0.902500000000001,800,1,country_code,A056
0.890000000000001,800,1,country_code,A057
0.930000000000001,800,1,country_code,A058
0.937500000000001,800,1,country_code,A059
0.895000000000001,800,1,country_code,A060
0.912500000000001,800,1,country_code,A061
0.900000000000001,800,1,country_code,A062
0.9225,800,1,country_code,A063
0.950000000000001,800,1,country_code,A064
0.900000000000001,800,1,country_code,A065
0.91,800,1,country_code,A066
0.960000000000001,800,1,country_code,A067
0.960000000000001,800,1,country_code,A068
0.927500000000001,800,1,country_code,A069
0.935000000000001,800,1,country_code,A070
0.947500000000001,800,1,country_code,A071
0.9375,800,1,country_code,A072
0.925000000000001,800,1,country_code,A073
0.940000000000001,800,1,country_code,A074
0.950000000000001,800,1,country_code,A075
0.915000000000001,800,1,country_code,A076
0.945,800,1,country_code,A077
0.930000000000001,800,1,country_code,A078
0.935,800,1,country_code,A079
0.930000000000001,800,1,country_code,A080
0.9575,800,1,country_code,A081
0.962500000000001,800,1,country_code,A082
0.935,800,1,country_code,A083
0.942500000000001,800,1,country_code,A084
0.942500000000001,800,1,country_code,A085
0.940000000000001,800,1,country_code,A086
0.9225,800,1,country_code,A087
0.940000000000001,800,1,country_code,A088
0.927500000000001,800,1,country_code,A089
0.945,800,1,country_code,A090
0.955,800,1,country_code,A091
0.950000000000001,800,1,country_code,A092
0.9575,800,1,country_code,A093
0.952500000000001,800,1,country_code,A094
0.9725,800,1,country_code,A095
0.947500000000001,800,1,country_code,A096
0.940000000000001,800,1,country_code,A097
0.950000000000001,800,1,country_code,A098
0.952500000000001,800,1,country_code,A099
0.9375,800,1,country_code,A100
-0.00749999999999887,800,1,country_code,B001
0.3675,800,1,country_code,B002
0.34,800,1,country_code,B003
0.500000000000001,800,1,country_code,B004
0.545000000000001,800,1,country_code,B005
0.477500000000001,800,1,country_code,B006
0.5725,800,1,country_code,B007
0.53,800,1,country_code,B008
0.555000000000001,800,1,country_code,B009
0.570000000000001,800,1,country_code,B010
0.6575,800,1,country_code,B011
0.630000000000001,800,1,country_code,B012
0.632500000000001,800,1,country_code,B013
0.6575,800,1,country_code,B014
0.707500000000001,800,1,country_code,B015
0.737500000000001,800,1,country_code,B016
0.685,800,1,country_code,B017
0.735000000000001,800,1,country_code,B018
0.707500000000001,800,1,country_code,B019
0.737500000000001,800,1,country_code,B020
0.715000000000001,800,1,country_code,B021
0.750000000000001,800,1,country_code,B022
0.692500000000001,800,1,country_code,B023
