effect,obs,comp,fe,idx
0,800,1,country_code,A001
-0.31,800,1,country_code,A002
-0.31625,800,1,country_code,A003
-0.37125,800,1,country_code,A004
-0.37375,800,1,country_code,A005
-0.3825,800,1,country_code,A006
-0.385,800,1,country_code,A007
-0.3975,800,1,country_code,A008
-0.3925,800,1,country_code,A009
-0.42625,800,1,country_code,A010
-0.39875,800,1,country_code,A011
-0.4,800,1,country_code,A012
-0.415,800,1,country_code,A013
-0.3925,800,1,country_code,A014
-0.4175,800,1,country_code,A015
-0.41625,800,1,country_code,A016
-0.4275,800,1,country_code,A017
-0.4175,800,1,country_code,A018
-0.42625,800,1,country_code,A019
-0.4225,800,1,country_code,A020
-0.45,800,1,country_code,A021
-0.4325,800,1,country_code,A022
-0.435,800,1,country_code,A023
-0.45875,800,1,country_code,A024
-0.4325,800,1,country_code,A025
-0.44125,800,1,country_code,A026
-0.4425,800,1,country_code,A027
-0.4525,800,1,country_code,A028
-0.4375,800,1,country_code,A029
-0.455,800,1,country_code,A030
-0.43375,800,1,country_code,A031
-0.445,800,1,country_code,A032
-0.44125,800,1,country_code,A033
-0.45125,800,1,country_code,A034
-0.455,800,1,country_code,A035
-0.445,800,1,country_code,A036
-0.45,800,1,country_code,A037
-0.445,800,1,country_code,A038
-0.44125,800,1,country_code,A039
-0.4575,800,1,country_code,A040
-0.46,800,1,country_code,A041
-0.4575,800,1,country_code,A042
-0.4425,800,1,country_code,A043
-0.4425,800,1,country_code,A044
-0.45,800,1,country_code,A045
-0.45625,800,1,country_code,A046
-0.46875,800,1,country_code,A047
-0.465,800,1,country_code,A048
-0.46875,800,1,country_code,A049
-0.46,800,1,country_code,A050
-0.4575,800,1,country_code,A051
-0.4525,800,1,country_code,A052
-0.4525,800,1,country_code,A053
-0.44375,800,1,country_code,A054
-0.45375,800,1,country_code,A055
-0.45125,800,1,country_code,A056
-0.445,800,1,country_code,A057
-0.465,800,1,country_code,A058
-0.46875,800,1,country_code,A059
-0.4475,800,1,country_code,A060
-0.45625,800,1,country_code,A061
-0.45,800,1,country_code,A062
-0.46125,800,1,country_code,A063
-0.475,800,1,country_code,A064
-0.45,800,1,country_code,A065
-0.455,800,1,country_code,A066
-0.48,800,1,country_code,A067
-0.48,800,1,country_code,A068
-0.46375,800,1,country_code,A069
-0.4675,800,1,country_code,A070
-0.47375,800,1,country_code,A071
-0.46875,800,1,country_code,A072
-0.4625,800,1,country_code,A073
-0.47,800,1,country_code,A074
-0.475,800,1,country_code,A075
-0.4575,800,1,country_code,A076
